Fecha,INPC,INVERSION,IGAE
Ene 1996,31.054701826733,45.545752662422,68.298477880603
Feb 1996,31.779507671726,43.098931746317,67.005904051415
Mar 1996,32.479096225856,43.72687493189,69.070931067015
Abr 1996,33.402392654452,41.78065754536,66.287242311028
May 1996,34.011237206319,43.30243724297,69.287286764393
Jun 1996,34.565062228904,45.224975706326,68.470819785706
Jul 1996,35.056417169495,49.746720335158,69.163645637468
Ago 1996,35.522363781178,50.929862911694,68.718245691997
Sep 1996,36.090325763897,51.139522882086,68.217327705804
Oct 1996,36.54079813534,52.299720005889,71.437414539359
Nov 1996,37.094432119879,52.519977731813,72.936175970363
Dic 1996,38.282127940254,59.532282027365,73.416715433952
Ene 1997,39.266557170736,51.512788345064,71.792014219921
Feb 1997,39.92640941157,49.23623630462,69.88249747178
Mar 1997,40.423304503734,48.081972808014,71.568705136463
Abr 1997,40.860021998028,52.732782776324,72.860061717092
May 1997,41.232932116431,52.613409851428,74.40930025702
Jun 1997,41.598773765111,55.004872893405,74.072467160626
Jul 1997,41.961176680711,59.390622703044,74.263028750303
Ago 1997,42.334277844055,62.161369709653,73.894385037571
Sep 1997,42.861548309462,62.804654481727,74.274617876816
Oct 1997,43.204083068415,61.001514954021,77.416674958623
Nov 1997,43.687414321475,61.211289480693,77.497826823626
Dic 1997,44.299506554585,66.76117633884,78.195990594347
Ene 1998,45.263303462448,58.118988773903,76.048081739207
Feb 1998,46.055737478709,57.783224823427,75.109764783583
Mar 1998,46.595234496218,61.487262959004,79.728039850552
Abr 1998,47.031187831436,55.947104265969,75.371972316636
May 1998,47.405817312931,58.048508017704,78.032835865114
Jun 1998,47.966137697999,60.399454881825,77.862727640057
Jul 1998,48.428645590395,64.632537700058,78.174666093516
Ago 1998,48.894210125989,65.417423066835,77.163852739321
Sep 1998,49.687217256384,69.62087185712,77.17432450505
Oct 1998,50.399223414452,64.210110889756,78.333264628758
Nov 1998,51.291762400612,63.102150942694,79.104529296434
Dic 1998,52.543265583086,70.031933152684,80.197950691906
Ene 1999,53.870120615833,63.120917333105,78.326935054501
Feb 1999,54.594080220394,62.310429810633,76.485957074155
Mar 1999,55.101291477316,66.351092902035,81.373504340425
Abr 1999,55.606974416087,59.610095133618,76.648694802397
May 1999,55.941485494404,61.72990040912,79.84428334525
Jun 1999,56.309046499279,65.849764671727,79.741854963758
Jul 1999,56.681192465503,67.98799228224,79.983116684187
Ago 1999,57.000229296684,70.664799019544,79.373625836399
Sep 1999,57.550997682966,72.769790521837,79.649534168538
Oct 1999,57.915502044644,67.561602802397,80.517737462298
Nov 1999,58.430545944157,70.582618956991,82.615898443773
Dic 1999,59.015892575148,75.822440143544,82.974919494423
Ene 2000,59.808326584513,68.889944724085,82.201607740067
Feb 2000,60.338844724266,69.839570530441,81.665264460369
Mar 2000,60.673355802583,69.419708123876,85.107535268102
Abr 2000,61.018565121748,64.243142541585,79.81938574108
May 2000,61.246666912622,69.254644341195,85.671114709196
